11.4 -0.390392 -0.389874 -0.38833 -0.385818 -0.38242 -0.378244 -0.373427 -0.36812 -0.362492 -0.356775 -0.350976 -0.345483 -0.340246 -0.335628 -0.331638 -0.328398 -0.326007 -0.324536 -0.324026 
11.6 -0.345822 -0.345361 -0.343986 -0.341746 -0.338715 -0.33499 -0.330692 -0.325957 -0.320933 -0.315776 -0.310643 -0.305741 -0.301067 -0.296942 -0.293377 -0.290482 -0.288346 -0.28703 -0.286575 
11.8 -0.306601 -0.306093 -0.304952 -0.302956 -0.300246 -0.296915 -0.29307 -0.288833 -0.284337 -0.279721 -0.275126 -0.270736 -0.266552 -0.262857 -0.259664 -0.257071 -0.255157 -0.253979 -0.253571 
12 -0.272005 -0.271637 -0.270535 -0.268739 -0.266309 -0.263321 -0.259873 -0.256073 -0.252039 -0.247897 -0.243774 -0.238368 -0.235981 -0.232707 -0.229863 -0.227548 -0.225837 -0.224784 -0.224421 
12.2 -0.240011 -0.240992 -0.24009 -0.238484 -0.2363 -0.233615 -0.230515 -0.227098 -0.223471 -0.219746 -0.216038 -0.212456 -0.209142 -0.2061 -0.203531 -0.201443 -0.199902 -0.198954 -0.198627 
12.4 -0.214318 -0.21402 -0.213128 -0.211675 -0.209707 -0.207288 -0.204495 -0.201416 -0.198148 -0.194791 -0.191448 -0.18822 -0.18523 -0.18249 -0.180172 -0.178289 -0.1769 -0.176045 -0.175751 
12.6 -0.190253 -0.189984 -0.189178 -0.187867 -0.18609 -0.183907 -0.181385 -0.178605 -0.175654 -0.172623 -0.169604 -0.166688 -0.163985 -0.161512 -0.159417 -0.157715 -0.15646 -0.155689 -0.155424 
12.8 -0.168838 -0.168595 -0.167866 -0.16668 -0.165073 -0.163098 -0.160817 -0.158303 -0.155633 -0.15289 -0.150158 -0.14752 -0.145072 -0.142835 -0.140938 -0.139397 -0.138261 -0.137563 -0.137324 
13 -0.148334 -0.149427 -0.148856 -0.147788 -0.146333 -0.144543 -0.142476 -0.140197 -0.137777 -0.135291 -0.132814 -0.130423 -0.128202 -0.126175 -0.124454 -0.123057 -0.122027 -0.121394 -0.121178 
13.2 -0.132686 -0.132485 -0.131886 -0.13091 -0.129589 -0.127964 -0.126088 -0.124019 -0.121822 -0.119564 -0.117316 -0.115144 -0.113125 -0.111287 -0.109722 -0.108452 -0.107517 -0.106943 -0.106747 
13.4 -0.117418 -0.117235 -0.11669 -0.115803 -0.114602 -0.113124 -0.111418 -0.109537 -0.107539 -0.105486 -0.103441 -0.101474 -0.0996196 -0.0979644 -0.096536 -0.0953788 -0.0945267 -0.0940042 -0.0938262 
13.6 -0.103727 -0.10356 -0.103064 -0.102256 -0.101162 -0.099817 -0.098263 -0.0965493 -0.0947294 -0.0928594 -0.0909966 -0.089204 -0.0875154 -0.0860063 -0.0847043 -0.0836498 -0.0828736 -0.0823978 -0.0822359 
13.8 -0.0914293 -0.0912768 -0.0908244 -0.0900877 -0.0890899 -0.0878628 -0.0864454 -0.0848824 -0.0832222 -0.0815162 -0.0798215 -0.0781754 -0.0766455 -0.0752643 -0.0740749 -0.0731121 -0.0724037 -0.0719697 -0.0718222 
14 -0.080364 -0.0802245 -0.0798114 -0.0791385 -0.0782271 -0.0771063 -0.0758117 -0.0743837 -0.0728671 -0.0713116 -0.0697561 -0.0682597 -0.066858 -0.065595 -0.0645078 -0.0636279 -0.0629805 -0.0625842 -0.0624498 
14.2 -0.0703913 -0.0702637 -0.0698857 -0.0692703 -0.0684367 -0.0674116 -0.0662273 -0.0649211 -0.063535 -0.0621078 -0.0606896 -0.0593174 -0.0580344 -0.0568785 -0.0558834 -0.0550783 -0.054486 -0.0541236 -0.0540008 
14.4 -0.0613892 -0.0612721 -0.060926 -0.0603623 -0.0595989 -0.05866 -0.0575748 -0.0563784 -0.0551084 -0.0538013 -0.0525014 -0.051244 -0.0500682 -0.0490089 -0.0480971 -0.0473593 -0.0468167 -0.0464847 -0.0463725 
